n	c	k	action	time_micros
20	50	1	PUT	357
20	50	1	PUT	1239
20	50	1	PUT	1682
20	50	1	PUT	814
20	50	1	PUT	3672
20	50	1	PUT	2648
20	50	1	PUT	3974
20	50	1	GET	5285
20	50	1	PUT	5894
20	50	1	PUT	8744
20	50	1	PUT	1955
20	50	1	PUT	3081
20	50	1	PUT	4382
20	50	1	PUT	7630
20	50	1	PUT	6597
20	50	1	PUT	10105
20	50	1	GET	1946
20	50	1	PUT	4185
20	50	1	PUT	3411
20	50	1	PUT	4486
20	50	1	PUT	4066
20	50	1	PUT	6351
20	50	1	GET	10890
20	50	1	PUT	12887
20	50	1	PUT	6438
20	50	1	GET	2745
20	50	1	GET	7793
20	50	1	PUT	9568
20	50	1	PUT	9093
20	50	1	PUT	9658
20	50	1	PUT	10444
20	50	1	GET	10761
20	50	1	PUT	2152
20	50	1	GET	7475
20	50	1	GET	9580
20	50	1	PUT	12717
20	50	1	PUT	6179
20	50	1	PUT	16899
20	50	1	GET	215
20	50	1	GET	4921
20	50	1	PUT	11199
20	50	1	PUT	11273
20	50	1	GET	9185
20	50	1	PUT	12936
20	50	1	PUT	14460
20	50	1	GET	7482
20	50	1	GET	11916
20	50	1	PUT	8579
20	50	1	PUT	15034
20	50	1	PUT	17315
20	50	1	PUT	15399
20	50	1	PUT	16573
20	50	1	PUT	19350
20	50	1	GET	7344
20	50	1	PUT	20902
20	50	1	PUT	16439
20	50	1	GET	13735
20	50	1	PUT	22509
20	50	1	GET	7660
20	50	1	PUT	20094
20	50	1	PUT	19763
20	50	1	GET	17118
20	50	1	GET	7216
20	50	1	GET	11600
20	50	1	GET	16929
20	50	1	PUT	10071
20	50	1	PUT	24395
20	50	1	PUT	22177
20	50	1	PUT	4831
20	50	1	PUT	23229
20	50	1	GET	19287
20	50	1	PUT	25543
20	50	1	PUT	26121
20	50	1	GET	2571
20	50	1	GET	15864
20	50	1	GET	10070
20	50	1	PUT	1847
20	50	1	GET	8250
20	50	1	GET	19455
20	50	1	GET	33619
20	50	1	GET	16785
20	50	1	GET	24270
20	50	1	PUT	18990
20	50	1	PUT	17511
20	50	1	PUT	10649
20	50	1	PUT	29540
20	50	1	PUT	14401
20	50	1	GET	17601
20	50	1	GET	13246
20	50	1	GET	8042
20	50	1	PUT	29664
20	50	1	PUT	23194
20	50	1	GET	15108
20	50	1	PUT	21515
20	50	1	GET	24370
20	50	1	GET	23996
20	50	1	GET	16023
20	50	1	PUT	19738
20	50	1	GET	2357
20	50	1	PUT	6879
20	50	1	PUT	17752
20	50	1	GET	15892
20	50	1	PUT	37515
20	50	1	PUT	24776
20	50	1	PUT	10058
20	50	1	PUT	18179
20	50	1	PUT	25958
20	50	1	GET	11089
20	50	1	GET	20754
20	50	1	PUT	11308
20	50	1	PUT	37622
20	50	1	GET	20304
20	50	1	GET	44176
20	50	1	GET	23180
20	50	1	GET	15340
20	50	1	GET	22105
20	50	1	PUT	14227
20	50	1	GET	10571
20	50	1	GET	2807
20	50	1	GET	28571
20	50	1	PUT	1582
20	50	1	GET	22507
20	50	1	PUT	21343
20	50	1	GET	37394
20	50	1	GET	32249
20	50	1	GET	1598
20	50	1	PUT	4253
20	50	1	GET	9940
20	50	1	GET	20145
20	50	1	GET	14801
20	50	1	GET	21220
20	50	1	GET	2300
20	50	1	PUT	15868
20	50	1	PUT	15757
20	50	1	GET	15041
20	50	1	GET	18027
20	50	1	PUT	18463
20	50	1	PUT	10660
20	50	1	GET	10463
20	50	1	GET	20316
20	50	1	PUT	22528
20	50	1	PUT	11061
20	50	1	GET	42566
20	50	1	GET	17469
20	50	1	PUT	23382
20	50	1	PUT	19923
20	50	1	GET	28016
20	50	1	PUT	6420
20	50	1	PUT	30529
20	50	1	PUT	14138
20	50	1	GET	14147
20	50	1	GET	17805
20	50	1	PUT	40575
20	50	1	PUT	52962
20	50	1	PUT	41375
20	50	1	GET	54057
20	50	1	GET	43641
20	50	1	PUT	42311
20	50	1	GET	55660
20	50	1	GET	38612
20	50	1	GET	48537
20	50	1	PUT	46485
20	50	1	PUT	46999
20	50	1	PUT	2519
20	50	1	GET	38547
20	50	1	GET	56353
20	50	1	PUT	53665
20	50	1	GET	50537
20	50	1	PUT	34592
20	50	1	PUT	48888
20	50	1	PUT	51740
20	50	1	PUT	46885
20	50	1	PUT	36834
20	50	1	GET	36672
20	50	1	PUT	71037
20	50	1	PUT	63403
20	50	1	GET	38382
20	50	1	PUT	52280
20	50	1	GET	7667
20	50	1	GET	73731
20	50	1	GET	24713
20	50	1	PUT	6935
20	50	1	PUT	42664
20	50	1	PUT	44888
20	50	1	PUT	56595
20	50	1	GET	195
20	50	1	GET	41641
20	50	1	GET	1870
20	50	1	GET	54628
20	50	1	GET	55679
20	50	1	PUT	52752
20	50	1	GET	5670
20	50	1	GET	2458
20	50	1	PUT	47336
20	50	1	GET	9952
20	50	1	PUT	3292
20	50	1	GET	41656
20	50	1	GET	55740
20	50	1	GET	3619
20	50	1	PUT	7915
20	50	1	GET	8022
20	50	1	PUT	49019
20	50	1	PUT	54110
20	50	1	GET	56256
20	50	1	PUT	3697
20	50	1	PUT	6036
20	50	1	PUT	43758
20	50	1	PUT	56421
20	50	1	GET	1627
20	50	1	GET	10413
20	50	1	GET	12362
20	50	1	GET	2811
20	50	1	GET	9485
20	50	1	GET	10394
20	50	1	GET	7330
20	50	1	GET	8509
20	50	1	GET	46529
20	50	1	PUT	13775
20	50	1	GET	29070
20	50	1	PUT	8251
20	50	1	PUT	10315
20	50	1	PUT	15514
20	50	1	PUT	11439
20	50	1	GET	11182
20	50	1	PUT	15618
20	50	1	GET	15904
20	50	1	PUT	35246
20	50	1	GET	8835
20	50	1	GET	10548
20	50	1	GET	14844
20	50	1	GET	41425
20	50	1	PUT	9817
20	50	1	PUT	5818
20	50	1	PUT	12146
20	50	1	PUT	10180
20	50	1	GET	17983
20	50	1	PUT	56095
20	50	1	GET	3609
20	50	1	GET	12076
20	50	1	PUT	52853
20	50	1	GET	18995
20	50	1	PUT	3736
20	50	1	GET	1698
20	50	1	PUT	14269
20	50	1	GET	7008
20	50	1	GET	11409
20	50	1	PUT	13650
20	50	1	GET	5217
20	50	1	GET	4944
20	50	1	PUT	17426
20	50	1	PUT	21976
20	50	1	PUT	5941
20	50	1	GET	3021
20	50	1	GET	737
20	50	1	GET	866
20	50	1	GET	8062
20	50	1	PUT	9751
20	50	1	PUT	11893
20	50	1	GET	7658
20	50	1	GET	14903
20	50	1	PUT	8751
20	50	1	GET	10423
20	50	1	GET	16600
20	50	1	PUT	13962
20	50	1	GET	9026
20	50	1	GET	12543
20	50	1	GET	17989
20	50	1	PUT	17945
20	50	1	GET	18147
20	50	1	PUT	8862
20	50	1	PUT	11751
20	50	1	PUT	8712
20	50	1	GET	652
20	50	1	PUT	9679
20	50	1	GET	8697
20	50	1	GET	15615
20	50	1	GET	13184
20	50	1	GET	10964
20	50	1	PUT	3674
20	50	1	GET	8132
20	50	1	GET	10993
20	50	1	GET	7156
20	50	1	GET	4594
20	50	1	GET	3297
20	50	1	PUT	6977
20	50	1	GET	8654
20	50	1	PUT	6855
20	50	1	GET	7634
20	50	1	PUT	3057
20	50	1	GET	2956
20	50	1	GET	5290
20	50	1	GET	7500
20	50	1	GET	4961
20	50	1	PUT	2925
20	50	1	PUT	5167
20	50	1	GET	2400
20	50	1	GET	4132
20	50	1	GET	1930
20	50	1	GET	3344
20	50	1	GET	4426
20	50	2	PUT	5430
20	50	2	PUT	6757
20	50	2	PUT	5748
20	50	2	PUT	3794
20	50	2	PUT	12919
20	50	2	PUT	7413
20	50	2	PUT	13007
20	50	2	GET	5123
20	50	2	PUT	3878
20	50	2	PUT	20670
20	50	2	PUT	22030
20	50	2	PUT	13130
20	50	2	GET	6190
20	50	2	PUT	14803
20	50	2	PUT	14337
20	50	2	PUT	18520
20	50	2	PUT	14304
20	50	2	PUT	17887
20	50	2	GET	3137
20	50	2	GET	12233
20	50	2	PUT	14161
20	50	2	GET	3873
20	50	2	GET	4283
20	50	2	GET	5808
20	50	2	PUT	20069
20	50	2	PUT	27660
20	50	2	PUT	27665
20	50	2	PUT	2106
20	50	2	PUT	19729
20	50	2	PUT	20672
20	50	2	GET	6438
20	50	2	PUT	20306
20	50	2	PUT	30133
20	50	2	GET	19694
20	50	2	GET	8466
20	50	2	PUT	26013
20	50	2	GET	14901
20	50	2	PUT	9114
20	50	2	PUT	22984
20	50	2	PUT	22314
20	50	2	PUT	31919
20	50	2	GET	9571
20	50	2	GET	606
20	50	2	PUT	28067
20	50	2	PUT	29415
20	50	2	PUT	28671
20	50	2	GET	4869
20	50	2	PUT	27457
20	50	2	GET	960
20	50	2	GET	6037
20	50	2	PUT	25471
20	50	2	PUT	1301
20	50	2	PUT	1024
20	50	2	PUT	31864
20	50	2	PUT	1389
20	50	2	GET	9864
20	50	2	PUT	27610
20	50	2	PUT	28115
20	50	2	PUT	29723
20	50	2	PUT	33285
20	50	2	PUT	29086
20	50	2	PUT	14805
20	50	2	PUT	38951
20	50	2	PUT	33507
20	50	2	PUT	28869
20	50	2	PUT	7184
20	50	2	PUT	29224
20	50	2	PUT	16559
20	50	2	GET	6673
20	50	2	GET	30945
20	50	2	PUT	12093
20	50	2	PUT	31756
20	50	2	GET	10177
20	50	2	GET	4661
20	50	2	PUT	37916
20	50	2	PUT	43321
20	50	2	GET	5142
20	50	2	PUT	37108
20	50	2	GET	8409
20	50	2	PUT	33545
20	50	2	GET	5103
20	50	2	PUT	38774
20	50	2	PUT	15150
20	50	2	GET	5828
20	50	2	GET	1142
20	50	2	PUT	38972
20	50	2	GET	25158
20	50	2	GET	15681
20	50	2	PUT	18508
20	50	2	PUT	21549
20	50	2	GET	20277
20	50	2	PUT	2239
20	50	2	PUT	5961
20	50	2	PUT	3919
20	50	2	PUT	16261
20	50	2	PUT	6519
20	50	2	PUT	12459
20	50	2	GET	1055
20	50	2	GET	19127
20	50	2	GET	14911
20	50	2	GET	27546
20	50	2	GET	14484
20	50	2	PUT	262
20	50	2	GET	18897
20	50	2	GET	8186
20	50	2	GET	35995
20	50	2	GET	22498
20	50	2	GET	17906
20	50	2	PUT	21029
20	50	2	GET	24491
20	50	2	PUT	46494
20	50	2	GET	4519
20	50	2	GET	11953
20	50	2	GET	15097
20	50	2	GET	22030
20	50	2	PUT	7155
20	50	2	GET	1221
20	50	2	GET	14627
20	50	2	GET	29017
20	50	2	GET	7075
20	50	2	GET	18534
20	50	2	PUT	564
20	50	2	PUT	1635
20	50	2	GET	20881
20	50	2	PUT	6195
20	50	2	PUT	8300
20	50	2	PUT	29278
20	50	2	PUT	12207
20	50	2	GET	1505
20	50	2	GET	1452
20	50	2	GET	9027
20	50	2	GET	15569
20	50	2	PUT	7241
20	50	2	PUT	6952
20	50	2	GET	22665
20	50	2	GET	11922
20	50	2	GET	14816
20	50	2	GET	5383
20	50	2	GET	17662
20	50	2	GET	23420
20	50	2	GET	11539
20	50	2	PUT	417
20	50	2	GET	17719
20	50	2	PUT	8907
20	50	2	GET	22378
20	50	2	GET	12862
20	50	2	GET	24672
20	50	2	GET	3156
20	50	2	GET	8547
20	50	2	PUT	10848
20	50	2	GET	25642
20	50	2	PUT	4992
20	50	2	GET	10230
20	50	2	PUT	22274
20	50	2	PUT	11742
20	50	2	PUT	17968
20	50	2	PUT	23410
20	50	2	GET	18893
20	50	2	PUT	19254
20	50	2	PUT	5065
20	50	2	PUT	17253
20	50	2	GET	24423
20	50	2	PUT	17972
20	50	2	GET	14611
20	50	2	PUT	15766
20	50	2	PUT	18011
20	50	2	GET	20076
20	50	2	GET	7609
20	50	2	PUT	19288
20	50	2	PUT	17928
20	50	2	GET	21759
20	50	2	GET	4946
20	50	2	PUT	11679
20	50	2	PUT	11321
20	50	2	GET	4949
20	50	2	GET	12032
20	50	2	PUT	16849
20	50	2	GET	16577
20	50	2	GET	4353
20	50	2	PUT	18810
20	50	2	PUT	21676
20	50	2	PUT	4733
20	50	2	GET	12457
20	50	2	PUT	5967
20	50	2	GET	5174
20	50	2	GET	21895
20	50	2	GET	4303
20	50	2	PUT	669
20	50	2	PUT	23530
20	50	2	PUT	10162
20	50	2	GET	2654
20	50	2	GET	8400
20	50	2	GET	8194
20	50	2	GET	8586
20	50	2	GET	3951
20	50	2	PUT	16567
20	50	2	PUT	15127
20	50	2	PUT	16934
20	50	2	GET	11448
20	50	2	GET	911
20	50	2	PUT	16136
20	50	2	PUT	8607
20	50	2	PUT	28822
20	50	2	GET	8073
20	50	2	PUT	21024
20	50	2	PUT	6057
20	50	2	GET	1339
20	50	2	PUT	7069
20	50	2	PUT	15950
20	50	2	PUT	1509
20	50	2	GET	4460
20	50	2	PUT	13187
20	50	2	GET	13084
20	50	2	GET	13848
20	50	2	GET	14563
20	50	2	GET	9026
20	50	2	GET	12634
20	50	2	PUT	10764
20	50	2	GET	15391
20	50	2	PUT	654
20	50	2	GET	9142
20	50	2	GET	3021
20	50	2	GET	4351
20	50	2	PUT	21516
20	50	2	GET	1673
20	50	2	PUT	7330
20	50	2	GET	7966
20	50	2	GET	2359
20	50	2	PUT	14270
20	50	2	PUT	15246
20	50	2	PUT	3203
20	50	2	GET	6279
20	50	2	PUT	8684
20	50	2	GET	12908
20	50	2	GET	9876
20	50	2	GET	7951
20	50	2	GET	14067
20	50	2	GET	7468
20	50	2	GET	7264
20	50	2	GET	2008
20	50	2	GET	12782
20	50	2	PUT	7166
20	50	2	PUT	10841
20	50	2	PUT	10140
20	50	2	PUT	4900
20	50	2	GET	11423
20	50	2	PUT	6491
20	50	2	GET	4893
20	50	2	GET	10424
20	50	2	GET	1345
20	50	2	PUT	4233
20	50	2	GET	10931
20	50	2	GET	10377
20	50	2	PUT	10451
20	50	2	PUT	16206
20	50	2	GET	2239
20	50	2	PUT	10784
20	50	2	GET	680
20	50	2	PUT	12965
20	50	2	PUT	11140
20	50	2	PUT	5060
20	50	2	GET	1002
20	50	2	GET	7390
20	50	2	GET	9393
20	50	2	PUT	7864
20	50	2	GET	5456
20	50	2	PUT	11101
20	50	2	PUT	8337
20	50	2	GET	6224
20	50	2	GET	10706
20	50	2	PUT	9089
20	50	2	PUT	6489
20	50	2	GET	6009
20	50	2	GET	13132
20	50	2	PUT	7562
20	50	2	GET	5172
20	50	2	GET	9998
20	50	2	GET	7018
20	50	2	GET	5692
20	50	2	PUT	7090
20	50	2	GET	4129
20	50	2	GET	5550
20	50	2	GET	3615
20	50	2	GET	430
20	50	2	GET	3016
20	50	2	GET	5582
20	50	2	GET	7925
20	50	2	PUT	4375
20	50	2	GET	5070
20	50	2	GET	2990
20	50	2	GET	1006165
