n	c	k	action	time_micros
20	50	2	GET	1006534
20	50	2	PUT	3065
20	50	2	PUT	6898
20	50	2	GET	858
20	50	2	GET	4282
20	50	3	PUT	2027
20	50	3	GET	386
20	50	3	PUT	3637
20	50	3	PUT	1319
20	50	3	PUT	515
20	50	3	PUT	528
20	50	3	PUT	5661
20	50	3	PUT	1218
20	50	3	PUT	1455
20	50	3	PUT	6642
20	50	3	PUT	4104
20	50	3	PUT	2052
20	50	3	PUT	1761
20	50	3	GET	3517
20	50	3	PUT	2969
20	50	3	PUT	2764
20	50	3	GET	2541
20	50	3	PUT	5640
20	50	3	PUT	5638
20	50	3	PUT	3615
20	50	3	PUT	6211
20	50	3	PUT	4606
20	50	3	PUT	5943
20	50	3	PUT	8845
20	50	3	PUT	6320
20	50	3	GET	4477
20	50	3	PUT	6426
20	50	3	PUT	12347
20	50	3	GET	5702
20	50	3	PUT	8365
20	50	3	PUT	8142
20	50	3	GET	4947
20	50	3	PUT	5215
20	50	3	GET	5072
20	50	3	PUT	10560
20	50	3	PUT	6402
20	50	3	GET	2365
20	50	3	GET	7337
20	50	3	GET	8755
20	50	3	GET	7877
20	50	3	PUT	1537
20	50	3	GET	7354
20	50	3	PUT	3295
20	50	3	PUT	10804
20	50	3	PUT	9878
20	50	3	PUT	13086
20	50	3	GET	3431
20	50	3	PUT	16269
20	50	3	PUT	2707
20	50	3	PUT	1726
20	50	3	GET	11156
20	50	3	PUT	11157
20	50	3	GET	540
20	50	3	PUT	12284
20	50	3	GET	990
20	50	3	PUT	18791
20	50	3	PUT	13910
20	50	3	GET	6183
20	50	3	GET	4938
20	50	3	PUT	1804
20	50	3	PUT	13922
20	50	3	GET	5961
20	50	3	GET	3989
20	50	3	GET	3388
20	50	3	PUT	3378
20	50	3	PUT	4671
20	50	3	PUT	14919
20	50	3	PUT	13044
20	50	3	PUT	7058
20	50	3	GET	3085
20	50	3	PUT	1291
20	50	3	GET	8161
20	50	3	PUT	21200
20	50	3	GET	12790
20	50	3	PUT	3069
20	50	3	GET	6448
20	50	3	PUT	19707
20	50	3	PUT	20368
20	50	3	GET	5345
20	50	3	GET	9375
20	50	3	GET	9027
20	50	3	GET	17558
20	50	3	PUT	17529
20	50	3	GET	4228
20	50	3	GET	2033
20	50	3	PUT	1189
20	50	3	PUT	786
20	50	3	GET	5397
20	50	3	GET	15844
20	50	3	GET	4955
20	50	3	PUT	6141
20	50	3	GET	21993
20	50	3	PUT	8845
20	50	3	PUT	11898
20	50	3	PUT	22065
20	50	3	GET	2917
20	50	3	PUT	21391
20	50	3	PUT	24470
20	50	3	PUT	22931
20	50	3	PUT	11159
20	50	3	GET	3994
20	50	3	GET	16198
20	50	3	GET	1499
20	50	3	PUT	2624
20	50	3	PUT	21335
20	50	3	PUT	15119
20	50	3	PUT	1045
20	50	3	GET	13771
20	50	3	PUT	11275
20	50	3	PUT	1574
20	50	3	GET	437
20	50	3	PUT	6274
20	50	3	PUT	4946
20	50	3	GET	13785
20	50	3	GET	23050
20	50	3	PUT	29543
20	50	3	GET	9632
20	50	3	GET	2209
20	50	3	PUT	25707
20	50	3	PUT	23566
20	50	3	PUT	1372
20	50	3	PUT	25703
20	50	3	PUT	8509
20	50	3	GET	6596
20	50	3	GET	17867
20	50	3	PUT	1681
20	50	3	GET	4271
20	50	3	GET	12501
20	50	3	PUT	11560
20	50	3	PUT	12769
20	50	3	PUT	1247
20	50	3	GET	15586
20	50	3	GET	3862
20	50	3	GET	14223
20	50	3	PUT	12261
20	50	3	PUT	838
20	50	3	GET	24861
20	50	3	PUT	12568
20	50	3	GET	1859
20	50	3	GET	5173
20	50	3	PUT	12580
20	50	3	PUT	20038
20	50	3	PUT	16774
20	50	3	GET	6416
20	50	3	GET	4753
20	50	3	GET	2604
20	50	3	PUT	12281
20	50	3	PUT	4691
20	50	3	PUT	6926
20	50	3	PUT	2205
20	50	3	PUT	3613
20	50	3	GET	13650
20	50	3	PUT	7915
20	50	3	GET	2159
20	50	3	GET	5335
20	50	3	GET	11604
20	50	3	PUT	1479
20	50	3	GET	1268
20	50	3	PUT	10200
20	50	3	GET	20946
20	50	3	GET	16396
20	50	3	PUT	14002
20	50	3	GET	2018
20	50	3	GET	12552
20	50	3	GET	2492
20	50	3	PUT	2039
20	50	3	GET	11709
20	50	3	GET	9284
20	50	3	PUT	8584
20	50	3	PUT	169
20	50	3	GET	5188
20	50	3	PUT	10722
20	50	3	GET	22585
20	50	3	PUT	11589
20	50	3	GET	22210
20	50	3	PUT	10577
20	50	3	GET	3631
20	50	3	GET	3365
20	50	3	PUT	707
20	50	3	GET	9484
20	50	3	GET	23420
20	50	3	GET	10253
20	50	3	GET	13712
20	50	3	GET	15626
20	50	3	GET	15425
20	50	3	GET	2060
20	50	3	PUT	6347
20	50	3	PUT	753
20	50	3	PUT	7204
20	50	3	GET	23948
20	50	3	PUT	11421
20	50	3	PUT	1851
20	50	3	GET	19595
20	50	3	PUT	8818
20	50	3	GET	8745
20	50	3	GET	19982
20	50	3	GET	10339
20	50	3	PUT	8440
20	50	3	GET	16910
20	50	3	GET	11500
20	50	3	PUT	2671
20	50	3	PUT	4388
20	50	3	GET	11372
20	50	3	GET	20507
20	50	3	GET	18816
20	50	3	GET	11544
20	50	3	PUT	23556
20	50	3	GET	5609
20	50	3	PUT	12313
20	50	3	PUT	13230
20	50	3	GET	10102
20	50	3	GET	15093
20	50	3	GET	3065
20	50	3	GET	6839
20	50	3	PUT	7991
20	50	3	PUT	13658
20	50	3	GET	22935
20	50	3	GET	7365
20	50	3	GET	20073
20	50	3	GET	5420
20	50	3	GET	12206
20	50	3	PUT	6888
20	50	3	PUT	9415
20	50	3	PUT	1044
20	50	3	PUT	7274
20	50	3	GET	6751
20	50	3	PUT	13560
20	50	3	PUT	8610
20	50	3	PUT	5773
20	50	3	GET	512
20	50	3	PUT	16249
20	50	3	GET	3526
20	50	3	PUT	5864
20	50	3	PUT	9538
20	50	3	GET	5103
20	50	3	GET	7739
20	50	3	PUT	6947
20	50	3	PUT	11594
20	50	3	GET	4072
20	50	3	PUT	1688
20	50	3	PUT	11375
20	50	3	PUT	7593
20	50	3	GET	7498
20	50	3	GET	1608
20	50	3	GET	6501
20	50	3	PUT	7934
20	50	3	GET	5051
20	50	3	PUT	3426
20	50	3	PUT	12171
20	50	3	GET	6099
20	50	3	GET	3417
20	50	3	GET	4342
20	50	3	GET	5627
20	50	3	GET	5690
20	50	3	GET	12993
20	50	3	GET	4344
20	50	3	PUT	5411
20	50	3	PUT	8642
20	50	3	GET	9248
20	50	3	GET	4090
20	50	3	GET	8428
20	50	3	GET	1158
20	50	3	GET	4028
20	50	3	PUT	3034
20	50	3	GET	3862
20	50	3	GET	5122
20	50	3	GET	2327
20	50	3	PUT	467
20	50	3	PUT	5125
20	50	3	GET	1601
20	50	3	PUT	3769
20	50	3	PUT	3263
20	50	3	GET	3542
20	50	3	GET	3654
20	50	3	GET	3142
20	50	3	GET	3045
20	50	3	GET	1002398
20	50	3	PUT	3257
20	50	3	GET	1493
20	50	3	PUT	546
20	50	3	GET	211
20	50	3	GET	1003210
20	50	3	PUT	2302
20	50	3	GET	3062
20	50	3	PUT	1222
20	50	3	GET	1002776
20	50	3	GET	1002716
20	50	3	GET	1001574
20	50	3	GET	1001048
20	50	3	PUT	2455
20	50	3	PUT	1000
20	50	3	GET	2891
20	50	3	GET	4488
20	50	3	GET	1000948
20	50	4	PUT	3263
20	50	4	PUT	3880
20	50	4	PUT	4444
20	50	4	PUT	3885
20	50	4	PUT	2537
20	50	4	PUT	3459
20	50	4	PUT	1034
20	50	4	PUT	2393
20	50	4	PUT	3560
20	50	4	PUT	2786
20	50	4	GET	2517
20	50	4	PUT	1939
20	50	4	PUT	2373
20	50	4	PUT	7483
20	50	4	GET	694
20	50	4	PUT	1514
20	50	4	PUT	1803
20	50	4	PUT	1977
20	50	4	PUT	7498
20	50	4	GET	998
20	50	4	PUT	2038
20	50	4	GET	111
20	50	4	PUT	391
20	50	4	GET	5021
20	50	4	PUT	3434
20	50	4	PUT	1042
20	50	4	PUT	3148
20	50	4	PUT	1725
20	50	4	PUT	3372
20	50	4	PUT	5406
20	50	4	GET	133
20	50	4	GET	1515
20	50	4	PUT	1170
20	50	4	PUT	4957
20	50	4	PUT	1869
20	50	4	PUT	13666
20	50	4	PUT	6781
20	50	4	PUT	7977
20	50	4	PUT	8462
20	50	4	GET	7055
20	50	4	PUT	386
20	50	4	GET	7098
20	50	4	GET	967
20	50	4	PUT	15625
20	50	4	PUT	11512
20	50	4	PUT	10115
20	50	4	GET	4344
20	50	4	GET	4183
20	50	4	GET	8058
20	50	4	GET	3833
20	50	4	PUT	14575
20	50	4	GET	10496
20	50	4	PUT	10330
20	50	4	GET	292
20	50	4	GET	298
20	50	4	PUT	459
20	50	4	PUT	15953
20	50	4	GET	7195
20	50	4	PUT	16438
20	50	4	PUT	16087
20	50	4	PUT	9018
20	50	4	PUT	9021
20	50	4	PUT	9633
20	50	4	GET	22726
20	50	4	PUT	19208
20	50	4	PUT	21663
20	50	4	PUT	13114
20	50	4	PUT	23016
20	50	4	PUT	25017
20	50	4	PUT	23273
20	50	4	GET	3359
20	50	4	PUT	24208
20	50	4	PUT	29507
20	50	4	PUT	31528
20	50	4	PUT	17215
20	50	4	GET	4839
20	50	4	PUT	29031
20	50	4	PUT	27295
20	50	4	PUT	327
20	50	4	PUT	32344
20	50	4	PUT	25696
20	50	4	PUT	15676
20	50	4	GET	27192
20	50	4	PUT	6945
20	50	4	GET	1185
20	50	4	PUT	28656
20	50	4	GET	7378
20	50	4	GET	23025
20	50	4	GET	31305
20	50	4	PUT	27024
20	50	4	GET	10605
20	50	4	PUT	1725
20	50	4	PUT	1776
20	50	4	GET	7858
20	50	4	PUT	2296
20	50	4	GET	32618
20	50	4	GET	21879
20	50	4	GET	3413
20	50	4	GET	9880
20	50	4	GET	11981
20	50	4	PUT	35543
20	50	4	GET	24658
20	50	4	PUT	18422
20	50	4	GET	4633
20	50	4	PUT	5595
20	50	4	PUT	2594
20	50	4	GET	13930
20	50	4	GET	12503
20	50	4	GET	15808
20	50	4	PUT	35225
20	50	4	GET	16263
20	50	4	PUT	26332
20	50	4	PUT	26205
20	50	4	GET	12389
20	50	4	GET	22976
20	50	4	GET	3060
20	50	4	GET	31716
20	50	4	PUT	7520
20	50	4	GET	2594
20	50	4	PUT	7121
20	50	4	GET	24050
20	50	4	GET	1471
20	50	4	PUT	2157
20	50	4	GET	7837
20	50	4	GET	18688
20	50	4	GET	21588
20	50	4	GET	19772
20	50	4	GET	21931
20	50	4	PUT	22390
20	50	4	GET	29602
20	50	4	PUT	24866
20	50	4	GET	45358
20	50	4	PUT	19168
20	50	4	PUT	30274
20	50	4	PUT	20428
20	50	4	PUT	22169
20	50	4	GET	250
20	50	4	PUT	62504
20	50	4	GET	18476
20	50	4	PUT	27169
20	50	4	PUT	21943
20	50	4	PUT	1231
20	50	4	GET	24351
20	50	4	GET	752
20	50	4	GET	34582
20	50	4	GET	33905
20	50	4	PUT	2952
20	50	4	PUT	862
20	50	4	PUT	26924
20	50	4	GET	3433
20	50	4	GET	1190
20	50	4	GET	838
20	50	4	GET	3458
20	50	4	PUT	24888
20	50	4	PUT	5014
20	50	4	PUT	26714
20	50	4	GET	35321
20	50	4	GET	7141
20	50	4	PUT	7197
20	50	4	GET	8118
20	50	4	PUT	27229
20	50	4	GET	7324
20	50	4	PUT	24899
20	50	4	GET	548
20	50	4	PUT	32075
20	50	4	PUT	4138
20	50	4	PUT	804
20	50	4	PUT	7019
20	50	4	PUT	27708
20	50	4	GET	1282
20	50	4	GET	1153
20	50	4	PUT	10349
20	50	4	GET	13621
20	50	4	PUT	16571
20	50	4	GET	9689
20	50	4	PUT	14887
20	50	4	GET	603
20	50	4	GET	10320
20	50	4	GET	12543
20	50	4	PUT	33940
20	50	4	GET	2128
20	50	4	PUT	17754
20	50	4	PUT	8971
20	50	4	GET	8057
20	50	4	GET	12116
20	50	4	PUT	13648
20	50	4	PUT	13695
20	50	4	PUT	10305
20	50	4	GET	3499
20	50	4	PUT	3743
20	50	4	PUT	6265
20	50	4	PUT	11551
20	50	4	GET	4732
20	50	4	GET	11978
20	50	4	PUT	4895
20	50	4	GET	13832
20	50	4	PUT	250
20	50	4	GET	14436
20	50	4	PUT	6328
20	50	4	GET	7963
20	50	4	GET	7266
20	50	4	GET	592
20	50	4	GET	4811
20	50	4	GET	6814
20	50	4	GET	4086
20	50	4	GET	5144
20	50	4	PUT	5202
20	50	4	GET	3819
20	50	4	GET	5986
20	50	4	GET	5339
20	50	4	PUT	5411
20	50	4	PUT	4028
20	50	4	GET	375
20	50	4	PUT	2914
20	50	4	GET	2452
20	50	4	GET	5596
20	50	4	PUT	4552
20	50	4	GET	1993
20	50	4	GET	1230
20	50	4	GET	3820
20	50	4	GET	1001459
20	50	4	GET	1000417
20	50	4	GET	1001780
20	50	4	PUT	1102
20	50	4	GET	468
20	50	4	GET	1002491
20	50	4	PUT	909
20	50	4	PUT	662
20	50	4	GET	656
20	50	4	PUT	1206
20	50	4	PUT	3134
20	50	4	PUT	1041
20	50	4	GET	489
20	50	4	PUT	352
20	50	4	GET	1466
20	50	4	GET	1007966
20	50	4	GET	1005408
20	50	4	PUT	420
20	50	4	GET	1910
20	50	4	PUT	255
20	50	4	GET	3809
20	50	4	GET	1008785
20	50	4	GET	2918
20	50	4	PUT	4566
20	50	4	GET	1004012
20	50	4	GET	594
20	50	4	PUT	1059
20	50	4	PUT	3798
20	50	4	GET	165
20	50	4	PUT	468
20	50	4	PUT	3325
20	50	4	GET	389
20	50	4	GET	3457
20	50	4	GET	2407
20	50	4	GET	1012725
20	50	4	PUT	2876
20	50	4	GET	663
20	50	4	PUT	3859
20	50	4	GET	1012572
20	50	4	GET	1274
20	50	4	GET	1018709
20	50	4	PUT	2964
20	50	4	GET	282
20	50	4	GET	1002558
20	50	4	PUT	1898
20	50	4	PUT	1006
20	50	4	PUT	3301
20	50	4	GET	285
20	50	4	GET	1022043
20	50	4	GET	2049
20	50	4	GET	1379
20	50	4	GET	1001117
20	50	4	GET	1001108
20	50	4	PUT	1613
20	50	4	PUT	1799
20	50	4	GET	1422
20	50	4	PUT	1922
20	50	4	GET	1002302
20	50	4	PUT	172
20	50	4	PUT	2484
20	50	4	GET	1838
20	50	4	GET	1004176
20	50	4	GET	1633
20	50	4	GET	1823
20	50	4	GET	1506
20	50	4	PUT	1282
20	50	4	GET	1000386
20	50	4	PUT	1769
20	50	4	GET	1717
20	50	4	PUT	2832
20	50	4	GET	2368
20	50	4	GET	1868
20	50	4	GET	1012237
20	50	4	GET	1000538
20	50	4	GET	1001401
20	50	4	PUT	403
20	50	4	GET	1914
20	50	4	GET	1002452
20	50	4	GET	1003189
20	50	4	GET	1001795
